,country,province,region_1,name,location,latitude,longitude
302,US,Michigan,Old Mission Peninsula,"US, Old Mission Peninsula, Michigan","Michigan, USA",43.6211955,-84.6824346
303,Portugal,Dão,,"Portugal, Dão","DAO, Avenida João Jacinto Magalhães, Glória, Glória e Vera Cruz, Aveiro, Baixo Vouga, Centro, 3810-193, Portugal",40.632544200000005,-8.65916415107717
304,Italy,Northeastern Italy,Alto Adige Terlano,"Italy, Alto Adige Terlano, Northeastern Italy",Italia,42.6384261,12.674297
305,US,California,Dunnigan Hills,"US, Dunnigan Hills, California","California, USA",36.7014631,-118.75599740000001
306,US,California,Coombsville,"US, Coombsville, California","Coombsville Road, Napa, Napa County, California, 94558, USA",38.294312100000006,-122.2552831
307,France,Provence,Bandol,"Bandol, Provence, France","Bandol, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83150, France",43.1357717,5.7523647
308,France,Rhône Valley,Châteauneuf-du-Pape,"Châteauneuf-du-Pape, Rhône Valley, France","Le Rhône, Via Rhôna, Cruas, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07350, France",44.61743555,4.75142309852762
309,France,Burgundy,Nuits-St.-Georges,"Nuits-St.-Georges, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
310,Chile,Rio Claro,,"Chile, Rio Claro","Río Claro, Paihuano, Provincia de Elqui, Región de Coquimbo, Chile",-30.0462408,-70.4979266
311,Hungary,Villány,,"Hungary, Villány","Villány, Siklósi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7773, Magyarország",45.869764399999994,18.455520800000002
312,Italy,Central Italy,Umbria,"Central Italy, Umbria, Italy","Smooth Perugia Italy, 13, Via Oberdan, Madonna Alta, Perugia, PG, UMB, 06121, Italia",43.1100952,12.389876300000001
313,Chile,Cachapoal Valley,,"Chile, Cachapoal Valley","Cachapoal, Coinco, Provincia de Cachapoal, Región del Libertador General Bernardo O'Higgins, Chile",-34.271863399999994,-70.9938223
314,Italy,Sicily & Sardinia,Faro,"Italy, Sicily & Sardinia, Faro",Italia,42.6384261,12.674297
315,France,Beaujolais,Chénas,"Beaujolais, Chénas, France","Beaujolais, Rue du Macônnais, Hauts de Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 73000, France",45.5906506,5.917992400000001
316,France,Southwest France,Jurançon,"Southwest France, Jurançon, France",France,46.603353999999996,1.8883334999999999
317,France,Loire Valley,Saumur,"Loire Valley, Saumur, France","La Loire, Saumur, Maine-et-Loire, Pays de la Loire, France métropolitaine, 49400, France",47.266574299999995,-0.071525
318,Romania,Jidvei,,"Romania, Jidvei","Jidvei, Alba, 517385, România",46.222447499999994,24.1106119
319,Spain,Catalonia,Alella,"Catalonia, Spain, Alella","Alella, Maresme, BCN, CAT, 08328, España",41.4952867,2.2942758
320,Italy,Southern Italy,Murgia,"Murgia, Italy, Southern Italy",Italia,42.6384261,12.674297
321,Italy,Tuscany,Bolgheri Sassicaia,"Tuscany, Bolgheri Sassicaia, Italy","TOS, Italia",43.458654100000004,11.1389204
322,France,Bordeaux,Saint-Julien,"Saint-Julien, Bordeaux, France","Saint-Julien, Latresne, Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33360, France",44.792984000000004,-0.5040716
323,France,Bordeaux,Pauillac,"Bordeaux, Pauillac, France","Route de Bordeaux, Pauillac, Lesparre-Médoc, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33250, France",45.217022899999996,-0.7651219
324,US,California,Oakville,"US, Oakville, California","Oakville, Napa County, California, 94562, USA",38.4368549,-122.4022007
325,France,Bordeaux,Lalande de Pomerol,"Bordeaux, Lalande de Pomerol, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
326,Argentina,Mendoza Province,Maipú,"Mendoza Province, Argentina, Maipú","Argentina, Chorillos, Chorrillos, Lima, 15042, Perú",-12.1673728,-77.0206174
327,France,Loire Valley,Touraine,"Loire Valley, Touraine, France","Loire à vélo, Jardin du Musée des Vins de Touraine, Blaise Pascal, Vieux Tours, Tours, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37010, France",47.39597620000001,0.6870073
328,US,Virginia,Middleburg,"US, Middleburg, Virginia","Middleburg, Loudoun County, Virginia, 20118, USA",38.9690189,-77.7355056
329,Australia,Australia Other,Australia,"Australia, Australia Other","Primaraly shops car yards and other, East Bunbury, Bunbury, Western Australia, Australia",-33.3274597,115.63841488702299
330,France,Loire Valley,Reuilly,"Loire Valley, Reuilly, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
331,Italy,Piedmont,Gattinara,"Gattinara, Italy, Piedmont","Piedmont Avenue, Pratt City, Birmingham, Jefferson County, Alabama, 35214, USA",33.547545,-86.902243
332,Australia,Western Australia,Margaret River,"Western Australia, Margaret River, Australia","Australia Post, Willmott Avenue, Margaret River, Western Australia, 6285, Australia",-33.9514256,115.0754061
333,Argentina,Other,Patagonia,"Patagonia, Other, Argentina","Other Look, Belgrano, Quilmes, Partido de Quilmes, Bs. As., 1877, Argentina",-34.7165244,-58.275414000000005
334,France,Bordeaux,Entre-Deux-Mers,"Bordeaux, Entre-Deux-Mers, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
335,US,Oregon,Applegate Valley,"US, Oregon, Applegate Valley","Applegate, Jackson County, Oregon, USA",42.25706339999999,-123.1682392
336,France,Rhône Valley,Hermitage,"Rhône Valley, Hermitage, France","Le Rhône, Via Rhôna, Cruas, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07350, France",44.61743555,4.75142309852762
337,Austria,Traisental,,"Austria, Traisental","Traisental Schnellstraße, Eisberg, Gemeinde St. Pölten, St. Pölten, Niederösterreich, 3100, Österreich",48.187558100000004,15.5901084
338,Italy,Tuscany,Maremma,"Tuscany, Maremma, Italy","La Maremma, Via Giuseppe Verdi, San Niccolò, Quartiere 1, Firenze, FI, TOS, 50122, Italia",43.7697164,11.2612205
339,Portugal,Bairrada,,"Portugal, Bairrada","Bairrada, Ferreira do Zêzere, Santarém, Médio Tejo, Centro, 2240, Portugal",39.6462485,-8.2413418
340,Israel,Negev Hills,,"Israel, Negev Hills","גבעות משורה, סינגל הללויה, מועצה אזורית רמת נגב, מחוז הדרום, no, ישראל",30.924748699999995,34.7196507
341,US,California,San Benito County,"US, San Benito County, California","San Benito County, California, USA",36.6248089,-121.1177379
342,Spain,Catalonia,Catalunya,"Catalonia, Catalunya, Spain","Creu Roja Catalunya, 120;124, Carrer de Joan d'Àustria, el Parc i la Llacuna del Poblenou, Sant Martí, Barcelona, BCN, CAT, 08018, España",41.3960809,2.18796887182023
343,Spain,Galicia,Ribeiro,"Galicia, Spain, Ribeiro","Ribeiro, Lugo, Galicia, 27274, España",43.148041299999996,-7.2973507
344,US,California,San Luis Obispo County,"US, San Luis Obispo County, California","San Luis Obispo County, California, USA",35.354020899999995,-120.3757163
345,Italy,Tuscany,Bolgheri,"Tuscany, Bolgheri, Italy","Bolgheri, LI, TOS, Italia",43.2340065,10.6179334
346,Spain,Levante,Alicante,"Alicante, Spain, Levante","Raiguero de Levante, el Baix Segura / La Vega Baja del Segura, Alacant / Alicante, Comunitat Valenciana, 03311, España",38.0823179,-0.9996929
347,Spain,Central Spain,Almansa,"Spain, Central Spain, Almansa","Almansa, Albacete, Castilla-La Mancha, 02640, España",38.8682065,-1.0978627
348,France,France Other,Mediterranée,"France Other, Mediterranée, France","La Belle Equipe: Boxe, Coaching and other things, 14, Rue d'Abbeville, Rochechouart, 10e, Paris, Île-de-France, France métropolitaine, 75010, France",48.8791831,2.349764
349,France,Beaujolais,Chiroubles,"Beaujolais, Chiroubles, France","Les Terrasses du Beaujolais, Route d'Avenas, Chiroubles, Villefranche-sur-Saône, Rhône, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69115, France",46.189296500000005,4.62845736363637
350,France,Beaujolais,Saint-Amour,"Beaujolais, Saint-Amour, France","Beaujolais, Rue du Macônnais, Hauts de Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 73000, France",45.5906506,5.917992400000001
351,Spain,Galicia,Ribeira Sacra,"Galicia, Spain, Ribeira Sacra","Ribeira Sacra, 5, Carretera de Esgos, Zumento, Nogueira de Ramuín, Ourense, Galicia, 32448, España",42.4102859,-7.726186200000001
352,Spain,Northern Spain,Calatayud,"Northern Spain, Spain, Calatayud",España,39.3262345,-4.838064900000001
353,US,New Jersey,Outer Coastal Plain,"US, New Jersey, Outer Coastal Plain","New Jersey, USA",40.0757384,-74.4041622
354,France,Languedoc-Roussillon,Coteaux du Languedoc,"Coteaux du Languedoc, Languedoc-Roussillon, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
355,Portugal,Beiras,,"Portugal, Beiras","Souto de Aguiar das Beiras, U.F Souto de Aguiar da Beira e Valverde, Aguiar da Beira, Guarda, Viseu Dão-Lafões, Centro, Portugal",40.81075705,-7.49252433159001
356,Australia,South Australia,Langhorne Creek,"Langhorne Creek, Australia, South Australia","Langhorne Creek, Alexandrina, South Australia, 5255, Australia",-35.295938,139.03644509999998
357,US,California,Santa Barbara,"US, Santa Barbara, California","Santa Barbara, Santa Barbara County, California, USA",34.4221319,-119.7026673
358,France,Bordeaux,Côtes de Bourg,"Bordeaux, Côtes de Bourg, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
359,Israel,Upper Galilee,,"Israel, Upper Galilee","הגליל, מועצה אזורית משגב, מחוז הצפון, no, ישראל",32.861663199999995,35.264012799999996
360,France,Southwest France,Bergerac Sec,"Southwest France, Bergerac Sec, France","Rue Pierre Mendes France, Le Gardinet, Prigonrieux, Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24130, France",44.855698499999995,0.39851420000000004
361,France,Beaujolais,Morgon,"Beaujolais, Morgon, France","Château de Corcelles-en-Beaujolais, Route du Pont de Thoissey à Roanne, Les Grands Ayets, Corcelles-en-Beaujolais, Villefranche-sur-Saône, Rhône, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69220, France",46.1623511,4.7159424
362,Italy,Northeastern Italy,Delle Venezie,"Delle Venezie, Italy, Northeastern Italy",Italia,42.6384261,12.674297
363,US,Oregon,Columbia Valley (OR),"US, Columbia Valley (OR), Oregon","Oregon, USA",43.9792797,-120.737257
364,France,Bordeaux,Listrac-Médoc,"Bordeaux, Listrac-Médoc, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
365,Greece,Epanomi,,"Greece, Epanomi","Επανομή, Δήμος Θερμαϊκού, Περιφερειακή Ενότητα Θεσσαλονίκης, Περιφέρεια Κεντρικής Μακεδονίας, Μακεδονία - Θράκη, 57500, Ελλάδα",40.4280217,22.928307999999998
366,Italy,Piedmont,Roero,"Roero, Italy, Piedmont","Piedmont Avenue, Pratt City, Birmingham, Jefferson County, Alabama, 35214, USA",33.547545,-86.902243
367,Greece,Nemea,,"Greece, Nemea","Νεμέα, Δήμος Νεμέας, Περιφερειακή Ενότητα Κορινθίας, Περιφέρεια Πελοποννήσου, Πελοπόννησος, Δυτική Ελλάδα και Ιόνιο, 20500, Ελλάδα",37.821329999999996,22.6622062
368,France,Rhône Valley,Tavel,"Rhône Valley, Tavel, France","Le Rhône, Via Rhôna, Cruas, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07350, France",44.61743555,4.75142309852762
369,Greece,Peloponnese,,"Greece, Peloponnese","Περιφέρεια Πελοποννήσου, Πελοπόννησος, Δυτική Ελλάδα και Ιόνιο, Ελλάδα",37.2528536,22.2326023992454
370,Chile,Aconcagua Costa,,"Chile, Aconcagua Costa","Costa Rica, Las Hormigas, San Felipe, Provincia de San Felipe de Aconcagua, Región de Valparaíso, 2170000, Chile",-32.7413872,-70.7200806
371,France,Burgundy,Puligny-Montrachet,"Puligny-Montrachet, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
372,Italy,Lombardy,Valtellina Superiore,"Valtellina Superiore, Italy, Lombardy","Sentiero Valtellina, Teglio, Comunità Montana della Valtellina di Tirano, SO, LOM, 23036, Italia",46.1574914,10.042297300000001
373,US,California,Red Hills Lake County,"US, Red Hills Lake County, California","California, USA",36.7014631,-118.75599740000001
374,Czech Republic,Moravia,,"Czech Republic, Moravia","Moravia, 2, Kubíčkova, Bystrc, Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, 635 00, Česko",49.2201995,16.5189757
375,Spain,Northern Spain,Toro,"Northern Spain, Toro, Spain",España,39.3262345,-4.838064900000001
376,Slovenia,Slovenia,,"Slovenia, Slovenia",Slovenija,45.813311299999995,14.4808369
377,Australia,Western Australia,Pemberton,"Western Australia, Australia, Pemberton","Pemberton, Western Australia, 6260, Australia",-34.4441275,116.0346584
378,France,Loire Valley,Rosé de Loire,"Rosé de Loire, Loire Valley, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
379,France,Bordeaux,Côtes de Bordeaux,"Bordeaux, Côtes de Bordeaux, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
380,US,California,South Coast,"US, South Coast, California","South Coast, Newport Avenue, Fleetridge, Ocean Beach, San Diego, San Diego County, California, 92107, USA",32.7469891,-117.25161240000001
381,Spain,Levante,Yecla,"Yecla, Spain, Levante","Levante, Villena, l'Alt Vinalopó / El Alto Vinalopó, Alacant / Alicante, Comunitat Valenciana, España",38.6453115,-0.9266378000000001
382,US,New York,Lake Erie,"US, New York, Lake Erie","Lake Erie, Narrowsburg, Town of Tusten, Sullivan County, New York, 18405, USA",41.604157,-75.064779
383,US,California,Potter Valley,"US, Potter Valley, California","Potter Valley, Mendocino County, California, USA",39.322108899999996,-123.113059
384,France,Burgundy,Givry,"Givry, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
385,France,Southwest France,Buzet,"Buzet, Southwest France, France","Buzet, Dax, Landes, Nouvelle-Aquitaine, France métropolitaine, 40380, France",43.709664399999994,-0.8313243
386,Portugal,Terras do Dão,,"Portugal, Terras do Dão","Terras, Sapataria, SMA, Lisboa, Oeste, Centro, 2665-310 MILHARADO, Portugal",38.9620834,-9.1894827
387,Portugal,Beira Interior,,"Portugal, Beira Interior","Beira, Velas, São Jorge, Açores, 9800-501, Portugal",38.7009848,-28.2103157
388,US,America,,"US, America","America, Wabash County, Indiana, 46940, USA",40.6792089,-85.7019246
389,France,Beaujolais,Beaujolais Rosé,"Beaujolais, Beaujolais Rosé, France","Le Beaujolais, Rue du Maréchal Foch, La Gare, Bois-Dieu, Belleville, Belleville-en-Beaujolais, Villefranche-sur-Saône, Rhône, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69220, France",46.1125998,4.730190599999999
390,Italy,Central Italy,Lazio,"Lazio, Central Italy, Italy",Italia,42.6384261,12.674297
391,US,California,Chalk Hill,"US, Chalk Hill, California","Chalk Hill, LA, Los Angeles County, California, 91367, USA",34.1650086,-118.57952649999999
392,Romania,Panciu,,"Romania, Panciu","Panciu, Vrancea, 625400, România",45.9070912,27.089899300000003
393,Italy,Central Italy,Marche,"Marche, Central Italy, Italy",Italia,42.6384261,12.674297
394,Australia,Western Australia,Frankland River,"Western Australia, Frankland River, Australia","Western Australia, Australia",-25.230300500000002,121.0187246
395,Australia,Western Australia,Geographe,"Geographe, Western Australia, Australia","Geographe, Busselton, Western Australia, Australia",-33.640190000000004,115.3748
396,Australia,Western Australia,Western Australia,"Western Australia, Australia","Western Australia, Australia",-25.230300500000002,121.0187246
397,Canada,Ontario,Niagara Peninsula,"Ontario, Canada, Niagara Peninsula","Islamic Society of Niagara Peninsula, 6768, Lyons Creek Road, Chippawa, Niagara Falls, Niagara Region, Ontario, L2G 7B7, Canada",43.0326295,-79.1060829
398,Italy,Southern Italy,Molise,"Molise, Italy, Southern Italy",Italia,42.6384261,12.674297
399,US,New Jersey,New Jersey,"US, New Jersey","New Jersey, USA",40.0757384,-74.4041622
400,France,Languedoc-Roussillon,Maury Sec,"Maury Sec, Languedoc-Roussillon, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
401,US,California,Redwood Valley,"US, Redwood Valley, California","Redwood Valley, Mendocino County, California, 95418, USA",39.2654449,-123.2044496
402,Italy,Northeastern Italy,Friuli Aquileia,"Friuli Aquileia, Italy, Northeastern Italy",Italia,42.6384261,12.674297
403,France,France Other,Ile de Beauté,"France Other, Ile de Beauté, France","La Belle Equipe: Boxe, Coaching and other things, 14, Rue d'Abbeville, Rochechouart, 10e, Paris, Île-de-France, France métropolitaine, 75010, France",48.8791831,2.349764
404,US,California,Cucamonga Valley,"US, Cucamonga Valley, California","California Pizza Kitchen, 12517, North Mainstreet, Rancho Cucamonga, San Bernardino County, California, 91739, USA",34.1119261,-117.53230659999998
405,France,Languedoc-Roussillon,Pays d'Oc,"Pays d'Oc, Languedoc-Roussillon, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
406,Chile,Bío Bío Valley,,"Chile, Bío Bío Valley","Región del Biobío, Chile",-37.3391407,-72.4106825
407,Romania,Romania,,"Romania, Romania",România,45.98521289999999,24.6859225
408,France,Languedoc-Roussillon,Gard,"Gard, Languedoc-Roussillon, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
409,France,Beaujolais,Fleurie,"Beaujolais, Fleurie, France","Rue du Beaujolais, Les Roches, Fleurie, Villefranche-sur-Saône, Rhône, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69820, France",46.1937591,4.6979543
410,US,California,Fiddletown,"US, Fiddletown, California","Fiddletown, Amador County, California, 95629, USA",38.5037966,-120.75548909999998
411,France,Loire Valley,Bonnezeaux,"Loire Valley, Bonnezeaux, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
412,Portugal,Minho,,"Portugal, Minho","Portugal, Estrada das Corredouras, Zona Industrial de Castanheira, Castanheira, Paredes de Coura, Viana do Castelo, Alto Minho, Norte, 4940-538, Portugal",41.8880387,-8.5542415
413,France,Burgundy,Mâcon-Péronne,"Mâcon-Péronne, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
414,US,Missouri,Augusta,"US, Augusta, Missouri","Augusta, Saint Charles County, Missouri, USA",38.5725523,-90.8820811
415,France,Burgundy,Saint-Bris,"Saint-Bris, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
416,US,New Mexico,New Mexico,"US, New Mexico","New Mexico, USA",34.5708167,-105.993007
417,US,Nevada,Nevada,"US, Nevada","Nevada, USA",39.515882500000004,-116.85372269999999
418,Australia,South Australia,Adelaide Plains,"Adelaide Plains, Australia, South Australia","Adelaide Plains, South Australia, Australia",-34.51260725,138.443828279495
419,Italy,Piedmont,Lessona,"Lessona, Italy, Piedmont","Piedmont Avenue, Pratt City, Birmingham, Jefferson County, Alabama, 35214, USA",33.547545,-86.902243
420,Italy,Piedmont,Boca,"Boca, Italy, Piedmont","Piedmont Avenue, Pratt City, Birmingham, Jefferson County, Alabama, 35214, USA",33.547545,-86.902243
421,Portugal,Bucelas,,"Portugal, Bucelas","Bucelas, LRS, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 2670-662, Portugal",38.90162479999999,-9.118727999999999
422,France,Burgundy,Charmes-Chambertin,"Charmes-Chambertin, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
423,Chile,Peumo,,"Chile, Peumo","Peumo, Provincia de Cachapoal, Región del Libertador General Bernardo O'Higgins, Chile",-34.3898607,-71.1718297
424,Italy,Veneto,Prosecco,"Veneto, Italy, Prosecco","Via del Prosecco, Farra di Soligo, TV, VEN, 31010, Italia",45.9070215,12.0918342
425,US,California,Sonoma-Napa,"US, Sonoma-Napa, California","California Institute of Massage & Spa Services - Sonoma Massage, 772, West Napa Street, Sonoma, Sonoma County, California, 95476, USA",38.293583700000006,-122.4727757
426,US,California,Paicines,"US, Paicines, California","Paicines, San Benito County, California, 95075-9700, USA",36.7285708,-121.2785409
427,France,Rhône Valley,Condrieu,"Condrieu, Rhône Valley, France","Condrieu, Lyon, Rhône, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69420, France",45.4624294,4.7676199
428,Austria,Thermenregion,,"Austria, Thermenregion","Landesklinikum Thermenregion Hainburg, Hofmeisterstraße, Gemeinde Hainburg an der Donau, Bezirk Bruck an der Leitha, Niederösterreich, 2410, Österreich",48.1426648,16.9575167
429,Spain,Northern Spain,Empordà,"Northern Spain, Empordà, Spain",España,39.3262345,-4.838064900000001
430,Italy,Tuscany,Chianti,"Tuscany, Italy, Chianti","Il Chianti, Scandicci, FI, TOS, 50055, Italia",43.704307299999996,11.1048413
431,US,California,Placer County,"US, Placer County, California","California, Mosquito Ridge Road, Four Acres, Placer County, California, USA",39.009344,-120.77076389999999
432,Austria,Carnuntum,,"Austria, Carnuntum","Petronell-Carnuntum, Bezirk Bruck an der Leitha, Niederösterreich, 2404, Österreich",48.11096895,16.856701752148098
433,Portugal,Estremadura,,"Portugal, Estremadura","Estremadura, Praça 25 de Abril, Alcobaça, Alcobaça e Vestiaria, Alcobaça, Leiria, Oeste, Centro, 2460-018, Portugal",39.5493629,-8.9798683
434,Italy,Southern Italy,Salice Salentino,"Salice Salentino, Italy, Southern Italy",Italia,42.6384261,12.674297
435,New Zealand,Canterbury,,"New Zealand, Canterbury","Canterbury, New Zealand / Aotearoa",-43.49417615,171.809844758414
436,France,Burgundy,Mâcon-Chardonnay,"Mâcon-Chardonnay, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
437,France,Burgundy,Ladoix,"Ladoix, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
438,Spain,Northern Spain,Campo de Borja,"Northern Spain, Spain, Campo de Borja",España,39.3262345,-4.838064900000001
439,France,Burgundy,Santenay,"Santenay, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
440,France,Burgundy,Viré-Clessé,"Viré-Clessé, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
441,Australia,South Australia,Eden Valley,"Eden Valley, Australia, South Australia","Eden Valley, Barossa, South Australia, 5235, Australia",-34.6666979,139.12996486291598
442,Spain,Spain Other,Spain,"Spain, Spain Other",España,39.3262345,-4.838064900000001
443,Argentina,Mendoza Province,La Consulta,"La Consulta, Mendoza Province, Argentina","La Consulta, Distrito La Consulta, Departamento San Carlos, Mza., 5567, Argentina",-33.736693599999995,-69.1185092
444,US,California,Solano County,"US, Solano County, California","Solano County, California, USA",38.2218938,-121.9163555
445,Australia,South Australia,Adelaide,"Australia, South Australia, Adelaide","Adelaide, South Australia, 5000, Australia",-34.928180499999996,138.5999312
446,Argentina,Mendoza Province,Agrelo,"Mendoza Province, Agrelo, Argentina","Cuesta del Chihuido, Distrito Ciudad de Malargüe, Departamento Malargüe, Mza., Argentina",-35.7492249,-69.58026459999999
447,Greece,Drama,,"Greece, Drama","Δράμα, Δήμος Δράμας, Περιφερειακή Ενότητα Δράμας, Περιφέρεια Ανατολικής Μακεδονίας και Θράκης, Μακεδονία - Θράκη, 66100, Ελλάδα",41.149944299999994,24.146828600000003
448,Italy,Veneto,Veneto Orientale,"Veneto, Veneto Orientale, Italy","Viale Vittorio Veneto, Lazzaretto, Porta Venezia, Milano, MI, LOM, 20124, Italia",45.4764575,9.2011819
449,France,Rhône Valley,Luberon,"Rhône Valley, Luberon, France","Le Rhône, Via Rhôna, Cruas, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07350, France",44.61743555,4.75142309852762
450,Israel,Ella Valley,,"Israel, Ella Valley","אלה, הזיתים, כפר תבור, מחוז הצפון, no, ישראל",32.690008500000005,35.4159734
451,Italy,Southern Italy,Taurasi,"Italy, Taurasi, Southern Italy",Italia,42.6384261,12.674297
452,Italy,Sicily & Sardinia,Eloro,"Eloro, Italy, Sicily & Sardinia",Italia,42.6384261,12.674297
453,France,Languedoc-Roussillon,Faugères,"Languedoc-Roussillon, Faugères, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
454,Italy,Piedmont,Piedmont,"Italy, Piedmont","Piedmont Avenue, Pratt City, Birmingham, Jefferson County, Alabama, 35214, USA",33.547545,-86.902243
455,South Africa,Walker Bay,,"South Africa, Walker Bay","Walker Bay, Frontstraat, Die Kelders, Gansbaai, Overberg District Municipality, Western Cape, 7220, South Africa",-34.556388899999995,19.341666699999998
456,Italy,Southern Italy,Irpinia,"Irpinia, Italy, Southern Italy",Italia,42.6384261,12.674297
457,Germany,Württemberg,,"Germany, Württemberg","Württemberg, Kleiner Stadtmarsch, Rotehorn, Werder, Magdeburg, Sachsen-Anhalt, 39114, Deutschland",52.11768789999999,11.638457
458,Germany,Baden,,"Germany, Baden","Baden, Landkreis Verden, Niedersachsen, 28832, Deutschland",52.9996895,9.080105300000001
459,Chile,Elqui Valley,,"Chile, Elqui Valley","Elqui, Condominio Parque la Portada, La Florida, Provincia de Santiago, Región Metropolitana de Santiago, 8240000, Chile",-33.533152199999996,-70.56053270000001
460,New Zealand,Wairau Valley,,"New Zealand, Wairau Valley","Wairau Valley, Marlborough, New Zealand / Aotearoa",-41.5635411,173.5314071
461,France,Rhône Valley,Cornas,"Rhône Valley, Cornas, France","Le Rhône, Cornas, Tournon-sur-Rhône, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07130, France",44.9610022,4.8659941
462,US,California,Chalone,"US, Chalone, California","Chalone Creek, San Benito County, California, USA",36.5123026,-121.2618419
463,France,Rhône Valley,Ventoux,"Rhône Valley, Ventoux, France","Le Rhône, Via Rhôna, Cruas, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07350, France",44.61743555,4.75142309852762
464,Italy,Southern Italy,Taburno,"Taburno, Italy, Southern Italy",Italia,42.6384261,12.674297
465,France,Loire Valley,Vouvray,"Loire Valley, Vouvray, France","La Loire, Route de la Frillière, Vernou-sur-Brenne, Tours, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37210, France",47.39379525,0.844695257560225
